method,dim,nlive,niter,ncall,logz,logzerr,h

slice,2,1000,8524,273697,-5.974978998264023,0.0431825899838408,1.8647360777125128
mcmc,2,1000,8677,73652,-6.128218106742743,0.0445077053212458,1.980935832962856
slice,2,1000,10191,345191,-6.034669532277095,0.044051919342345,1.9405715977444764
mcmc,2,1000,10067,89553,-5.910523561121793,0.0425496466358473,1.8104724288354743
slice,3,1000,12977,627999,-9.046487851610546,0.0592478609113914,3.5103090225755817,0.0
slice,5,1000,17232,1535620,-15.151347021880008,0.0821115799881603,6.742311568152045,0.0
slice,5,1000,14652,1269163,-14.874507927436785,0.080581094229502,6.493312747223891,0.0

slice,20,1000,46025,22865103,-59.83390885405165,0.1738580179657891,30.22661041099265,0.0183382583000173
slice,4,1000,14396,964418,-12.079194673299352,0.0714799859778229,5.109388395389762,0.0
slice,5,1000,16325,1443694,-14.938801149585018,0.0811218805131237,6.580759497985532,0.0
slice,4,1000,14349,961216,-12.035324479146585,0.0714646354838707,5.107194124842513,0.0
slice,5,1000,16511,1472980,-15.118541368077215,0.0819320086012377,6.712854033433295,0.0


slice,2,1000,2602,23054,-5.944716770901645,0.0433937207903125,1.8830150040276008,0.0
slice,4,1000,5202,224035,-11.961123968036295,0.0711121182564113,5.056933362913827,0.0
slice,5,1000,6502,418533,-14.997942554707189,0.0804958610381876,6.4795836442792165,0.0
